authors,comments,publisher,tags,timestamp,formats,id,isbn,identifiers,languages,library_name,author_sort,title_sort,cover,pubdate,series,series_index,size,title,rating,uuid
"John Schember","calibre Quick Start Guide","","","2024-12-18T01:41:26+01:00","epub","1","","","eng","Biblioteca de calibre","Schember, John","Quick Start Guide","/home/aletheios/Biblioteca de calibre/John Schember/Quick Start Guide (1)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","52631","Quick Start Guide","","634f4dae-8c31-4fcf-978c-1f0060c335ab"
"José Palacios","","","","2025-03-20T04:50:35+01:00","pdf","2","","","","Biblioteca de calibre","Palacios, José","FARENHEIT 541","/home/aletheios/Biblioteca de calibre/Jose Palacios/FARENHEIT 541 (2)/cover.jpg","2011-01-12T11:51:18+01:00","","1.0","703912","FARENHEIT 541","","b713129b-a7b1-44ad-afed-2796f19c327c"
"Patricio","","","Novela","2025-03-20T04:50:35+01:00","pdf","3","","","","Biblioteca de calibre","Patricio","García Márquez - Cien años de soledad","/home/aletheios/Biblioteca de calibre/Patricio/Garcia Marquez - Cien anos de soledad (3)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","1246033","García Márquez - Cien años de soledad","","6ef7d359-3124-46e8-b214-3c36849ab9ae"
"William Shakespeare, Ed. Jim Manis","","","The Merchant of Venice, The, Merchant, of, Venice, Shakespeare, William, Shakespeare's, Comdedies","2025-03-20T04:50:35+01:00","pdf","4","","","","Biblioteca de calibre","William Shakespeare, Ed. Jim Manis","The Merchant of Venice","/home/aletheios/Biblioteca de calibre/William Shakespeare, Ed. Jim Manis/The Merchant of Venice (4)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","478574","The Merchant of Venice","","27148933-2318-4ceb-a5e6-f24006278853"
"Desconocido","","","","2025-03-20T04:51:28+01:00","md","5","","","","Biblioteca de calibre","Desconocido","README","","0101-01-01T01:00:00+01:00","","1.0","10","README","","a52132cf-baf3-4161-9410-3f1c53f84cde"
"Rene Contreras","","","","2025-03-20T04:51:29+01:00","pdf","6","","","","Biblioteca de calibre","Contreras, Rene","Microsoft Word - Sobre los Judíos y sus mentiras.doc","/home/aletheios/Biblioteca de calibre/Rene Contreras/Microsoft Word - Sobre los Judios y sus mentiras.doc (6)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","501276","Microsoft Word - Sobre los Judíos y sus mentiras.doc","","e9f8ebee-2ef4-4408-8655-57d50983d53e"
"Tiago Forte","","","","2025-03-20T04:51:29+01:00","pdf","7","","","","Biblioteca de calibre","Forte, Tiago","Building a Second Brain","/home/aletheios/Biblioteca de calibre/Tiago Forte/Building a Second Brain (7)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","8609395","Building a Second Brain","","c0325e9a-d506-470d-b25d-20a5aa619662"
"Desconocido","","","","2025-03-20T04:51:29+01:00","pdf","8","","","","Biblioteca de calibre","Desconocido","feynman-lectures","/home/aletheios/Biblioteca de calibre/Desconocido/feynman-lectures (8)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","63760607","feynman-lectures","","2074c61a-f4c6-4f89-9aeb-eafc4be304ed"
"pancake pancake@nopcode.org","","","book, reverse-engineering, radare2, reversing, radare","2025-03-20T04:51:29+01:00","pdf","9","","","","Biblioteca de calibre","pancake@nopcode.org, pancake","The Official Radare2 Book","/home/aletheios/Biblioteca de calibre/pancake pancake@nopcode.org/The Official Radare2 Book (9)/cover.jpg","0101-01-01T01:00:00+01:00","","1.0","7839916","The Official Radare2 Book","","03aa3f9e-4a75-4a08-b5a2-51b8d0d51efc"
"Brian W. Kernighan & Dennis M. Ritchie","ANSI C Programming Instruction & Reference","","ANSI C Programming Instruction & Reference","2025-03-20T04:51:29+01:00","pdf","10","","","","Biblioteca de calibre","Kernighan, Brian W. & Ritchie, Dennis M.","The C Programming Language - 2nd Edition","/home/aletheios/Biblioteca de calibre/Brian W. Kernighan/The C Programming Language - 2nd Edition (10)/cover.jpg","2002-10-24T22:21:05+01:00","","1.0","1413059","The C Programming Language - 2nd Edition","","16b6e074-12c9-4b1a-a7d2-6d833bfc3c50"
